ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45104 8 45359 11 45614 12 45869 14 46124 15 46380 14 46636 13 46893 11 47150 9 47408 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50027 1 50279 8 50533 11 50788 13 51043 15 51298 16 51553 17 51809 17 52064 18 52320 18 52576 17 52832 17 53089 15 53345 14 53602 12 53860 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11146 9 11401 10 11656 12 11911 12 12166 13 12422 13 12677 14 12933 14 13189 13 13445 12 13701 11 13957 10 14214 8 14471 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31631 7 31884 12 32138 15 32393 17 32648 18 32904 18 33159 19 33415 19 33671 18 33927 18 34183 17 34439 16 34695 14 34952 12 35209 10 35466 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 2 51097 6 51351 9 51605 11 51860 12 52115 13 52371 12 52626 13 52881 13 53137 13 53393 12 53648 12 53904 11 54161 9 54417 7 54675 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 3 31388 5 31644 6 31900 6 32156 6 32412 6 32669 5 32926 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 3 38819 6 39074 8 39327 11 39582 12 39837 13 40093 13 40349 13 40605 13 40862 11 41118 11 41375 9 41631 8 41887 7 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,48269 1 48787 3 49307 3 49826 5 50344 6 50863 6 51382 6 51901 8 51918 9 52420 8 52435 12 52939 9 52954 13 53458 10 53472 14 53977 29 54496 30 55015 30 55534 31 56053 32 56572 32 57091 32 57610 33 58129 33 58648 34 59167 34 59686 34 60205 35 60724 35 61243 35 61762 35 62281 35 62800 34 63320 6 63331 1 63336 16 63858 12 64378 10 64898 8 65418 7 65940 4 66461 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,119891 2 120409 5 120928 6 121447 6 121966 7 122485 8 123004 8 123523 8 124042 8 124561 8 125080 8 125599 9 126118 9 126637 9 127156 9 127675 8 128194 8 128713 8 129232 6 129751 6 130270 5 130789 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24939 3 25454 10 25971 14 26488 17 27006 19 27523 22 28040 24 28558 26 29076 27 29594 28 30113 28 30632 28 31151 28 31670 27 32189 27 32708 26 33227 26 33746 25 34265 24 34784 23 35303 21 35822 19 36342 17 36862 13 37381 12 37902 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117844 10 118361 14 118878 16 119397 17 119915 19 120433 21 120952 21 121471 22 121989 23 122508 24 123027 24 123546 24 124064 25 124583 25 125103 24 125622 24 126141 24 126661 23 127180 23 127699 23 128218 23 128737 22 129257 20 129777 19 130296 19 130816 18
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,7315 9 7833 12 8351 13 8869 16 9388 16 9906 18 10425 19 10943 21 11462 22 11981 22 12500 23 13019 23 13538 23 14056 24 14575 23 15094 23 15614 22 16133 22 16652 21 17171 20 17690 20 18209 19 18728 18 19247 18 19766 17 20285 16 20804 16 21324 14 21843 13 22363 12 22882 10 23403 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,75309 6 75826 10 76342 14 76859 17 77378 18 77897 19 78416 19 78935 19 79454 19 79974 18 80493 19 81014 18 81535 16 82055 15 82575 14 83095 13 83615 12 84135 11 84656 9 85175 9 85696 7 86215 6 86739 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28607 9 29123 15 29640 19 30158 20 30675 23 31194 24 31712 25 32230 25 32749 25 33266 26 33785 26 34304 26 34823 25 35342 24 35860 24 36379 23 36897 22 37416 21 37935 20 38454 19 38973 18 39493 17 40013 14 40532 12 41053 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,8899 3 9415 9 9933 11 10451 13 10969 14 11488 15 12006 17 12523 19 13042 19 13561 19 14080 20 14598 22 15117 1 15120 19 15640 18 16159 18 16680 16 17199 17 17719 17 18239 16 18759 15 19279 14 19798 14 20317 14 20836 14 21356 13 21875 13 22395 12 22915 11 23435 10 23955 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46266 7 46782 16 47300 19 47818 22 48337 23 48854 26 49373 26 49892 26 50410 27 50928 28 51447 28 51966 28 52485 26 53004 26 53524 23 54044 21 54563 18 55085 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,83 11 603 10 1122 10 1641 10 2162 8 2683 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63928 8 64445 12 64963 14 65481 16 65999 18 66518 18 67035 20 67554 21 68073 21 68591 22 69109 24 69628 24 70147 24 70666 24 71185 24 71704 24 72223 24 72742 24 73261 24 73781 23 74301 21 74820 21 75339 20 75859 19 76379 18 76898 17 77417 16 77936 16 78456 15 78976 13 79495 12 80015 10 80536 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93028 6 93545 11 94062 14 94581 15 95100 16 95618 17 96136 19 96655 20 97174 20 97693 21 98212 22 98731 23 99251 23 99770 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24001 5 24518 10 25037 11 25555 14 26073 15 26592 16 27111 18 27630 19 28148 21 28667 21 29187 20 29706 20 30225 20 30744 20 31263 21 31782 21 32302 21 32821 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,99781 12 100290 22 100809 23 101328 23 101847 24 102367 23 102886 23 103406 21 103925 20 104446 18 104966 17 105487 15 106008 12 106530 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,50481 5 50997 11 51514 14 52031 17 52549 19 53067 20 53586 20 54103 22 54622 22 55140 23 55658 24 56177 23 56696 22 57214 23 57733 22 58251 22 58770 22 59289 21 59808 20 60327 20 60846 19 61365 18 61884 18 62403 18 62922 18 63442 16 63961 15 64481 14 65000 13 65520 11 66040 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,125733 5 126249 11 126765 16 127283 17 127800 20 128318 22 128837 22 129356 22 129875 22 130396 20 130915 22
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,32831 11 33341 21 33860 21 34380 20 34900 18 35419 18 35939 17 36459 16 36978 16 37499 14 38020 11 38541 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,126 27 646 26 1165 25 1684 26 2203 26 2723 25 3243 24 3762 23 4282 21 4802 20 5321 20 5841 19 6361 17 6881 15 7401 14 7922 10 8442 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,112765 11 113281 21 113799 25 114317 28 114836 30 115354 31 115872 33 116391 34 116910 34 117429 34 117948 34 118467 34 118986 33 119505 32 120025 31 120545 28 121064 27 121585 24 122108 17 122636 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,21427 9 21944 13 22462 16 22980 18 23498 20 24017 20 24536 22 25055 22 25574 22 26093 22 26611 23 27129 25 27649 25 28169 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28180 13 28688 24 29207 24 29726 24 30245 24 30764 24 31284 23 31803 23 32323 22 32842 22 33362 21 33881 21 34403 17 34924 14 35444 11 35965 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,90472 7 90986 18 91502 22 92019 24 92537 26 93055 27 93573 28 94092 30 94611 30 95130 31 95649 31 96168 31 96687 32 97207 30 97727 29 98246 29 98765 29 99285 27 99805 26 100325 24 100845 22 101366 18 101886 17 102409 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,164 20 684 19 1203 19 1722 20 2241 21 2760 21 3280 21 3800 21 4319 21 4838 22 5358 22 5878 21 6397 21 6918 20 7437 20 7956 20 8476 19 8996 18 9515 18 10035 17 10555 15 11075 14 11595 12 12116 9 12637 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,57791 9 58307 15 58825 18 59343 20 59861 22 60379 23 60898 23 61416 25 61934 27 62453 27 62972 27 63491 26 64010 25 64529 25 65048 24 65567 23 66086 22 66605 19 67126 15 67646 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,81147 4 81664 10 82182 13 82700 15 83218 16 83736 18 84255 19 84774 19 85293 19 85812 20 86331 21 86850 21 87369 21 87888 21 88407 21 88926 21 89446 20 89965 20 90485 19 91004 19 91524 16 92043 14 92563 8 93082 4 93601 3 94122 1 94641 1
